確定病名,建檔年份,建檔月份,縣市,性別,國籍,年齡層,確定病例數
結核病,2013,5,台北市,M,本國籍,45-49,1
結核病,2013,5,台北市,M,本國籍,55-59,3
結核病,2013,5,台東縣,M,本國籍,45-49,1
結核病,2013,5,台南市,F,本國籍,45-49,1
結核病,2013,5,台南市,F,本國籍,55-59,3
結核病,2013,5,台南市,M,本國籍,50-54,2
結核病,2013,5,台南市,M,本國籍,60-64,12
結核病,2013,5,台南市,M,本國籍,70+,19
結核病,2013,5,宜蘭縣,F,本國籍,25-29,1
結核病,2013,5,宜蘭縣,F,本國籍,70+,5
結核病,2013,5,宜蘭縣,M,本國籍,40-44,1
結核病,2013,5,花蓮縣,F,本國籍,50-54,1
結核病,2013,5,花蓮縣,F,本國籍,70+,2
結核病,2013,5,花蓮縣,M,本國籍,20-24,3
結核病,2013,5,花蓮縣,M,本國籍,30-34,1
結核病,2013,5,花蓮縣,M,本國籍,65-69,1
結核病,2013,5,金門縣,F,本國籍,35-39,1
結核病,2013,5,南投縣,F,本國籍,50-54,1
結核病,2013,5,南投縣,M,本國籍,65-69,1
結核病,2013,5,屏東縣,F,本國籍,3,1
結核病,2013,5,屏東縣,M,本國籍,25-29,1
結核病,2013,5,屏東縣,M,本國籍,50-54,5
結核病,2013,5,屏東縣,M,本國籍,60-64,4
結核病,2013,5,屏東縣,M,本國籍,70+,25
結核病,2013,5,苗栗縣,F,非本國籍,25-29,1
結核病,2013,5,苗栗縣,M,本國籍,70+,5
結核病,2013,5,桃園縣,F,本國籍,0,1
結核病,2013,5,桃園縣,F,本國籍,55-59,1
結核病,2013,5,桃園縣,F,非本國籍,25-29,2
結核病,2013,5,桃園縣,M,本國籍,15-19,1
結核病,2013,5,桃園縣,M,本國籍,25-29,2
結核病,2013,5,桃園縣,M,本國籍,60-64,4
結核病,2013,5,桃園縣,M,本國籍,70+,24
結核病,2013,5,桃園縣,M,非本國籍,30-34,1
結核病,2013,5,高雄市,F,本國籍,25-29,1
結核病,2013,5,高雄市,F,本國籍,70+,21
結核病,2013,5,高雄市,F,非本國籍,40-44,1
結核病,2013,5,高雄市,F,非本國籍,50-54,1
結核病,2013,5,高雄市,M,本國籍,40-44,3
結核病,2013,5,高雄市,M,本國籍,50-54,6
結核病,2013,5,基隆市,M,本國籍,25-29,1
結核病,2013,5,基隆市,M,本國籍,45-49,2
結核病,2013,5,基隆市,M,本國籍,70+,4
結核病,2013,5,雲林縣,F,本國籍,70+,4
結核病,2013,5,雲林縣,M,本國籍,20-24,2
結核病,2013,5,雲林縣,M,本國籍,40-44,1
結核病,2013,5,雲林縣,M,本國籍,65-69,2
結核病,2013,5,新北市,F,本國籍,25-29,2
結核病,2013,5,新北市,F,本國籍,35-39,1
結核病,2013,5,新北市,F,本國籍,70+,15
結核病,2013,5,新北市,M,本國籍,40-44,5
結核病,2013,5,新北市,M,本國籍,50-54,8
結核病,2013,5,新北市,M,非本國籍,20-24,1
結核病,2013,5,新竹市,F,本國籍,45-49,1
結核病,2013,5,新竹市,F,本國籍,70+,1
結核病,2013,5,新竹市,M,本國籍,40-44,1
結核病,2013,5,新竹市,M,本國籍,50-54,1
結核病,2013,5,新竹縣,M,本國籍,50-54,1
結核病,2013,5,嘉義市,F,本國籍,50-54,1
結核病,2013,5,嘉義市,M,本國籍,10-14,1
結核病,2013,5,嘉義市,M,本國籍,20-24,1
結核病,2013,5,嘉義市,M,本國籍,65-69,3
結核病,2013,5,嘉義縣,F,非本國籍,45-49,1
結核病,2013,5,嘉義縣,M,本國籍,45-49,1
結核病,2013,5,嘉義縣,M,本國籍,70+,15
結核病,2013,5,彰化縣,F,本國籍,65-69,3
結核病,2013,5,彰化縣,F,非本國籍,35-39,1
結核病,2013,5,彰化縣,M,本國籍,45-49,5
結核病,2013,5,台中市,F,本國籍,20-24,1
結核病,2013,5,台中市,F,本國籍,30-34,1
結核病,2013,5,台中市,F,本國籍,55-59,3
結核病,2013,5,台中市,F,本國籍,65-69,2
結核病,2013,5,台中市,F,非本國籍,35-39,1
結核病,2013,5,台中市,M,本國籍,25-29,3
結核病,2013,5,台中市,M,本國籍,35-39,2
結核病,2013,5,台中市,M,本國籍,45-49,4
結核病,2013,5,台中市,M,本國籍,70+,40
結核病,2013,5,台北市,F,本國籍,15-19,2
結核病,2013,5,台北市,F,本國籍,50-54,2
結核病,2013,5,台北市,F,本國籍,60-64,6
結核病,2013,5,台北市,F,非本國籍,20-24,1
結核病,2013,5,台北市,F,非本國籍,30-34,1
結核病,2013,5,台北市,M,本國籍,65-69,1
結核病,2013,5,台北市,M,非本國籍,45-49,1
結核病,2013,5,台東縣,M,本國籍,65-69,2
結核病,2013,5,台南市,F,本國籍,35-39,1
結核病,2013,5,台南市,F,本國籍,70+,5
結核病,2013,5,台南市,M,本國籍,40-44,1
結核病,2013,5,宜蘭縣,F,本國籍,45-49,2
結核病,2013,5,宜蘭縣,F,本國籍,55-59,2
結核病,2013,5,宜蘭縣,M,本國籍,60-64,2
結核病,2013,5,宜蘭縣,M,本國籍,70+,6
結核病,2013,5,花蓮縣,F,本國籍,45-49,1
結核病,2013,5,花蓮縣,M,本國籍,15-19,1
結核病,2013,5,花蓮縣,M,本國籍,40-44,1
結核病,2013,5,花蓮縣,M,本國籍,50-54,1
結核病,2013,5,花蓮縣,M,本國籍,60-64,2
結核病,2013,5,金門縣,M,本國籍,70+,2
結核病,2013,5,南投縣,F,本國籍,40-44,2
結核病,2013,5,南投縣,M,本國籍,55-59,1
結核病,2013,5,南投縣,M,非本國籍,25-29,1
結核病,2013,5,屏東縣,F,本國籍,35-39,3
結核病,2013,5,屏東縣,F,本國籍,60-64,3
結核病,2013,5,屏東縣,F,本國籍,70+,10
結核病,2013,5,屏東縣,M,本國籍,40-44,2
結核病,2013,5,苗栗縣,F,本國籍,35-39,3
結核病,2013,5,苗栗縣,M,本國籍,15-19,1
結核病,2013,5,苗栗縣,M,本國籍,40-44,1
結核病,2013,5,桃園縣,F,本國籍,25-29,1
結核病,2013,5,桃園縣,F,本國籍,35-39,1
結核病,2013,5,桃園縣,F,本國籍,70+,5
結核病,2013,5,桃園縣,M,本國籍,40-44,2
結核病,2013,5,桃園縣,M,本國籍,50-54,3
結核病,2013,5,桃園縣,M,非本國籍,20-24,1
結核病,2013,5,桃園縣,M,非本國籍,55-59,1
結核病,2013,5,高雄市,F,本國籍,50-54,6
結核病,2013,5,高雄市,M,本國籍,20-24,3
結核病,2013,5,高雄市,M,本國籍,30-34,2
結核病,2013,5,高雄市,M,本國籍,55-59,8
結核病,2013,5,高雄市,M,本國籍,65-69,13
結核病,2013,5,基隆市,F,本國籍,40-44,1
結核病,2013,5,基隆市,M,本國籍,55-59,2
結核病,2013,5,雲林縣,M,本國籍,50-54,3
結核病,2013,5,雲林縣,M,本國籍,60-64,2
結核病,2013,5,新北市,F,本國籍,15-19,1
結核病,2013,5,新北市,F,本國籍,50-54,2
結核病,2013,5,新北市,F,本國籍,60-64,1
結核病,2013,5,新北市,F,非本國籍,20-24,1
結核病,2013,5,新北市,F,非本國籍,30-34,3
結核病,2013,5,新北市,M,本國籍,20-24,3
結核病,2013,5,新北市,M,本國籍,30-34,2
結核病,2013,5,新北市,M,本國籍,65-69,6
結核病,2013,5,新竹市,M,本國籍,30-34,2
結核病,2013,5,新竹市,M,本國籍,65-69,2
結核病,2013,5,新竹縣,F,非本國籍,30-34,1
結核病,2013,5,新竹縣,M,本國籍,30-34,1
結核病,2013,5,新竹縣,M,本國籍,65-69,3
結核病,2013,5,嘉義市,F,本國籍,70+,1
結核病,2013,5,嘉義縣,M,本國籍,50-54,2
結核病,2013,5,彰化縣,F,本國籍,50-54,2
結核病,2013,5,彰化縣,F,非本國籍,30-34,1
結核病,2013,5,彰化縣,M,本國籍,20-24,1
結核病,2013,5,彰化縣,M,本國籍,55-59,5
結核病,2013,5,彰化縣,M,本國籍,65-69,1
結核病,2013,5,台中市,F,本國籍,35-39,1
結核病,2013,5,台中市,F,本國籍,45-49,1
結核病,2013,5,台中市,F,非本國籍,60-64,1
結核病,2013,5,台中市,M,本國籍,50-54,3
結核病,2013,5,台中市,M,本國籍,60-64,3
結核病,2013,5,台中市,M,非本國籍,30-34,1
結核病,2013,5,台北市,F,本國籍,25-29,2
結核病,2013,5,台北市,F,本國籍,35-39,2
結核病,2013,5,台北市,F,本國籍,70+,7
結核病,2013,5,台北市,F,非本國籍,50-54,1
結核病,2013,5,台北市,M,本國籍,40-44,3
結核病,2013,5,台北市,M,本國籍,50-54,1
結核病,2013,5,台北市,M,非本國籍,55-59,1
結核病,2013,5,台東縣,F,本國籍,25-29,1
結核病,2013,5,台東縣,F,本國籍,70+,3
結核病,2013,5,台東縣,M,本國籍,50-54,2
結核病,2013,5,台南市,F,本國籍,40-44,1
結核病,2013,5,台南市,F,本國籍,50-54,2
結核病,2013,5,台南市,M,本國籍,20-24,2
結核病,2013,5,台南市,M,本國籍,55-59,6
結核病,2013,5,台南市,M,本國籍,65-69,7
結核病,2013,5,台南市,M,非本國籍,25-29,1
結核病,2013,5,宜蘭縣,F,本國籍,30-34,1
結核病,2013,5,宜蘭縣,M,非本國籍,50-54,1
結核病,2013,5,花蓮縣,F,本國籍,20-24,1
結核病,2013,5,花蓮縣,F,本國籍,55-59,1
結核病,2013,5,花蓮縣,M,本國籍,35-39,1
結核病,2013,5,花蓮縣,M,本國籍,70+,8
結核病,2013,5,南投縣,F,本國籍,65-69,2
結核病,2013,5,南投縣,M,本國籍,70+,8
結核病,2013,5,屏東縣,F,本國籍,5-9,1
結核病,2013,5,屏東縣,F,本國籍,50-54,1
結核病,2013,5,屏東縣,M,本國籍,20-24,1
結核病,2013,5,屏東縣,M,本國籍,55-59,6
結核病,2013,5,屏東縣,M,本國籍,65-69,3
結核病,2013,5,苗栗縣,F,本國籍,50-54,1
結核病,2013,5,苗栗縣,F,本國籍,70+,3
結核病,2013,5,苗栗縣,F,非本國籍,30-34,1
結核病,2013,5,桃園縣,F,本國籍,15-19,1
結核病,2013,5,桃園縣,F,本國籍,50-54,1
結核病,2013,5,桃園縣,F,非本國籍,20-24,1
結核病,2013,5,桃園縣,F,非本國籍,30-34,2
結核病,2013,5,桃園縣,M,本國籍,20-24,1
結核病,2013,5,桃園縣,M,本國籍,30-34,1
結核病,2013,5,桃園縣,M,本國籍,55-59,7
結核病,2013,5,桃園縣,M,本國籍,65-69,4
結核病,2013,5,桃園縣,M,非本國籍,45-49,1
結核病,2013,5,高雄市,F,本國籍,30-34,2
結核病,2013,5,高雄市,F,本國籍,40-44,3
結核病,2013,5,高雄市,F,本國籍,65-69,4
結核病,2013,5,高雄市,M,本國籍,35-39,3
結核病,2013,5,高雄市,M,本國籍,45-49,3
結核病,2013,5,高雄市,M,非本國籍,25-29,1
結核病,2013,5,基隆市,F,本國籍,25-29,1
結核病,2013,5,基隆市,F,本國籍,70+,2
結核病,2013,5,雲林縣,F,本國籍,65-69,4
結核病,2013,5,雲林縣,F,非本國籍,25-29,1
結核病,2013,5,雲林縣,M,本國籍,70+,11
結核病,2013,5,新北市,F,本國籍,30-34,9
結核病,2013,5,新北市,F,本國籍,40-44,4
結核病,2013,5,新北市,F,非本國籍,55-59,1
結核病,2013,5,新北市,M,本國籍,35-39,4
結核病,2013,5,新北市,M,本國籍,45-49,5
結核病,2013,5,新北市,M,本國籍,55-59,14
結核病,2013,5,新北市,M,非本國籍,25-29,1
結核病,2013,5,新竹市,F,本國籍,30-34,2
結核病,2013,5,新竹市,M,本國籍,45-49,1
結核病,2013,5,新竹市,M,本國籍,55-59,2
結核病,2013,5,新竹縣,F,本國籍,40-44,1
結核病,2013,5,新竹縣,M,本國籍,55-59,1
結核病,2013,5,嘉義縣,F,本國籍,70+,3
結核病,2013,5,嘉義縣,M,本國籍,30-34,1
結核病,2013,5,嘉義縣,M,本國籍,40-44,1
結核病,2013,5,彰化縣,F,本國籍,70+,7
結核病,2013,5,彰化縣,F,非本國籍,40-44,1
結核病,2013,5,彰化縣,F,非本國籍,50-54,1
結核病,2013,5,彰化縣,M,本國籍,40-44,3
結核病,2013,5,彰化縣,M,本國籍,50-54,3
結核病,2013,5,彰化縣,M,非本國籍,20-24,1
結核病,2013,5,澎湖縣,M,本國籍,70+,1
結核病,2013,6,台中市,F,本國籍,15-19,1
結核病,2013,6,台中市,F,本國籍,25-29,3
結核病,2013,6,台中市,F,本國籍,50-54,2
結核病,2013,6,台中市,F,本國籍,60-64,1
結核病,2013,6,台中市,F,本國籍,70+,3
結核病,2013,6,台中市,F,非本國籍,30-34,1
結核病,2013,6,台中市,M,本國籍,20-24,1
結核病,2013,6,台中市,M,本國籍,65-69,5
結核病,2013,6,台中市,M,非本國籍,35-39,1
結核病,2013,6,台北市,F,本國籍,50-54,2
結核病,2013,6,台北市,M,本國籍,20-24,2
結核病,2013,6,台北市,M,本國籍,55-59,5
結核病,2013,6,台北市,M,本國籍,65-69,6
結核病,2013,6,台東縣,F,本國籍,50-54,1
結核病,2013,6,台東縣,M,本國籍,65-69,2
結核病,2013,6,台南市,F,本國籍,30-34,1
結核病,2013,6,台南市,F,本國籍,55-59,2
結核病,2013,6,台南市,F,本國籍,65-69,1
結核病,2013,6,台南市,F,非本國籍,25-29,1
結核病,2013,6,台南市,M,本國籍,35-39,3
結核病,2013,6,台南市,M,本國籍,70+,24
結核病,2013,6,宜蘭縣,M,本國籍,60-64,2
結核病,2013,6,花蓮縣,F,本國籍,70+,2
結核病,2013,6,花蓮縣,M,本國籍,40-44,1
結核病,2013,6,花蓮縣,M,本國籍,50-54,3
結核病,2013,6,花蓮縣,M,非本國籍,20-24,1
結核病,2013,6,金門縣,M,本國籍,70+,1
結核病,2013,6,南投縣,F,本國籍,25-29,1
結核病,2013,6,南投縣,F,本國籍,70+,6
結核病,2013,6,南投縣,M,本國籍,50-54,1
結核病,2013,6,屏東縣,F,本國籍,10-14,1
結核病,2013,6,屏東縣,M,本國籍,25-29,1
結核病,2013,6,屏東縣,M,本國籍,35-39,4
結核病,2013,6,屏東縣,M,本國籍,70+,20
結核病,2013,6,苗栗縣,M,本國籍,10-14,1
結核病,2013,6,苗栗縣,M,本國籍,45-49,1
結核病,2013,6,苗栗縣,M,本國籍,55-59,1
結核病,2013,6,桃園縣,F,本國籍,20-24,1
結核病,2013,6,桃園縣,F,本國籍,30-34,1
結核病,2013,6,桃園縣,F,本國籍,65-69,3
結核病,2013,6,桃園縣,F,非本國籍,35-39,1
結核病,2013,6,桃園縣,M,本國籍,35-39,2
結核病,2013,6,桃園縣,M,本國籍,45-49,3
結核病,2013,6,高雄市,F,本國籍,45-49,1
結核病,2013,6,高雄市,F,本國籍,55-59,5
結核病,2013,6,高雄市,F,非本國籍,25-29,1
結核病,2013,6,高雄市,M,本國籍,5-9,1
結核病,2013,6,高雄市,M,本國籍,25-29,2
結核病,2013,6,高雄市,M,本國籍,50-54,6
結核病,2013,6,高雄市,M,本國籍,60-64,7
結核病,2013,6,高雄市,M,本國籍,70+,36
結核病,2013,6,高雄市,M,非本國籍,40-44,1
結核病,2013,6,基隆市,M,本國籍,55-59,2
結核病,2013,6,雲林縣,F,本國籍,25-29,1
結核病,2013,6,雲林縣,F,本國籍,70+,6
結核病,2013,6,雲林縣,M,本國籍,40-44,1
結核病,2013,6,新北市,F,本國籍,45-49,2
結核病,2013,6,新北市,F,本國籍,55-59,3
結核病,2013,6,新北市,F,非本國籍,15-19,1
結核病,2013,6,新北市,F,非本國籍,25-29,3
結核病,2013,6,新北市,M,本國籍,15-19,3
結核病,2013,6,新北市,M,本國籍,25-29,2
結核病,2013,6,新北市,M,本國籍,60-64,8
結核病,2013,6,新北市,M,本國籍,70+,32
結核病,2013,6,新北市,M,非本國籍,30-34,1
結核病,2013,6,新竹市,M,本國籍,60-64,1
結核病,2013,6,新竹市,M,本國籍,70+,1
結核病,2013,6,新竹縣,F,非本國籍,25-29,1
結核病,2013,6,新竹縣,M,本國籍,70+,5
結核病,2013,6,嘉義市,F,本國籍,70+,1
結核病,2013,6,嘉義縣,F,本國籍,40-44,1
結核病,2013,6,嘉義縣,M,本國籍,45-49,2
結核病,2013,6,嘉義縣,M,本國籍,55-59,1
結核病,2013,6,嘉義縣,M,非本國籍,35-39,1
結核病,2013,6,彰化縣,F,本國籍,40-44,1
結核病,2013,6,彰化縣,F,本國籍,50-54,2
結核病,2013,6,彰化縣,F,非本國籍,20-24,1
結核病,2013,6,彰化縣,M,本國籍,55-59,1
結核病,2013,6,彰化縣,M,本國籍,65-69,5
結核病,2013,6,台中市,F,本國籍,35-39,3
結核病,2013,6,台中市,F,本國籍,45-49,3
結核病,2013,6,台中市,M,本國籍,40-44,1
結核病,2013,6,台中市,M,本國籍,50-54,4
結核病,2013,6,台中市,M,本國籍,60-64,3
結核病,2013,6,台北市,F,本國籍,20-24,1
結核病,2013,6,台北市,F,本國籍,30-34,1
結核病,2013,6,台北市,F,非本國籍,35-39,1
結核病,2013,6,台北市,M,本國籍,35-39,2
結核病,2013,6,台北市,M,本國籍,45-49,4
結核病,2013,6,台東縣,F,本國籍,20-24,1
結核病,2013,6,台東縣,M,本國籍,70+,4
結核病,2013,6,台南市,F,本國籍,50-54,4
結核病,2013,6,台南市,F,非本國籍,20-24,1
結核病,2013,6,台南市,M,本國籍,10-14,1
結核病,2013,6,台南市,M,本國籍,55-59,5
結核病,2013,6,台南市,M,本國籍,65-69,6
結核病,2013,6,台南市,M,非本國籍,25-29,1
結核病,2013,6,宜蘭縣,F,本國籍,15-19,1
結核病,2013,6,宜蘭縣,F,本國籍,70+,3
結核病,2013,6,花蓮縣,F,本國籍,60-64,2
結核病,2013,6,花蓮縣,M,本國籍,65-69,1
結核病,2013,6,南投縣,F,本國籍,45-49,1
結核病,2013,6,南投縣,M,本國籍,60-64,1
結核病,2013,6,南投縣,M,本國籍,70+,8
結核病,2013,6,屏東縣,F,本國籍,40-44,1
結核病,2013,6,屏東縣,F,本國籍,50-54,1
結核病,2013,6,屏東縣,M,本國籍,45-49,1
結核病,2013,6,屏東縣,M,本國籍,55-59,2
結核病,2013,6,屏東縣,M,本國籍,65-69,2
結核病,2013,6,苗栗縣,F,本國籍,15-19,1
結核病,2013,6,苗栗縣,F,非本國籍,20-24,1
結核病,2013,6,苗栗縣,M,本國籍,30-34,1
結核病,2013,6,桃園縣,F,本國籍,40-44,1
結核病,2013,6,桃園縣,F,本國籍,50-54,1
結核病,2013,6,桃園縣,F,非本國籍,20-24,3
結核病,2013,6,桃園縣,M,本國籍,20-24,3
結核病,2013,6,桃園縣,M,本國籍,55-59,3
結核病,2013,6,桃園縣,M,本國籍,65-69,3
結核病,2013,6,桃園縣,M,非本國籍,25-29,2
結核病,2013,6,桃園縣,M,非本國籍,35-39,2
結核病,2013,6,高雄市,F,本國籍,20-24,2
結核病,2013,6,高雄市,F,本國籍,30-34,2
結核病,2013,6,高雄市,F,本國籍,65-69,6
結核病,2013,6,高雄市,M,本國籍,35-39,2
結核病,2013,6,高雄市,M,本國籍,45-49,7
結核病,2013,6,基隆市,F,非本國籍,35-39,1
結核病,2013,6,基隆市,M,本國籍,25-29,1
結核病,2013,6,基隆市,M,本國籍,35-39,1
結核病,2013,6,基隆市,M,本國籍,70+,3
結核病,2013,6,連江縣,F,本國籍,45-49,1
結核病,2013,6,雲林縣,F,本國籍,50-54,1
結核病,2013,6,雲林縣,F,本國籍,60-64,2
結核病,2013,6,雲林縣,M,本國籍,65-69,4
結核病,2013,6,新北市,F,本國籍,20-24,3
結核病,2013,6,新北市,F,本國籍,30-34,2
結核病,2013,6,新北市,F,本國籍,65-69,2
結核病,2013,6,新北市,M,本國籍,35-39,2
結核病,2013,6,新北市,M,本國籍,45-49,9
結核病,2013,6,新竹市,F,本國籍,30-34,1
結核病,2013,6,新竹市,M,本國籍,45-49,2
結核病,2013,6,新竹縣,F,本國籍,30-34,1
結核病,2013,6,新竹縣,M,本國籍,45-49,1
結核病,2013,6,嘉義市,M,本國籍,55-59,1
結核病,2013,6,嘉義縣,F,本國籍,70+,4
結核病,2013,6,嘉義縣,M,本國籍,30-34,1
結核病,2013,6,嘉義縣,M,本國籍,40-44,1
結核病,2013,6,嘉義縣,M,本國籍,65-69,1
結核病,2013,6,彰化縣,F,本國籍,20-24,1
結核病,2013,6,彰化縣,F,本國籍,30-34,1
結核病,2013,6,彰化縣,F,本國籍,65-69,3
結核病,2013,6,彰化縣,M,本國籍,25-29,1
結核病,2013,6,彰化縣,M,本國籍,45-49,3
結核病,2013,6,彰化縣,M,本國籍,70+,15
結核病,2013,6,台中市,F,本國籍,10-14,1
結核病,2013,6,台中市,F,本國籍,55-59,4
結核病,2013,6,台中市,F,本國籍,65-69,2
結核病,2013,6,台中市,F,非本國籍,25-29,1
結核病,2013,6,台中市,M,本國籍,35-39,2
結核病,2013,6,台中市,M,本國籍,70+,37
結核病,2013,6,台北市,F,本國籍,55-59,1
結核病,2013,6,台北市,M,本國籍,15-19,1
結核病,2013,6,台北市,M,本國籍,60-64,5
結核病,2013,6,台北市,M,本國籍,70+,27
結核病,2013,6,台北市,M,非本國籍,40-44,1
結核病,2013,6,台東縣,M,本國籍,25-29,1
結核病,2013,6,台東縣,M,本國籍,50-54,2
結核病,2013,6,台南市,F,本國籍,25-29,1
結核病,2013,6,台南市,F,本國籍,60-64,1
結核病,2013,6,台南市,F,本國籍,70+,14
結核病,2013,6,台南市,M,本國籍,30-34,3
結核病,2013,6,台南市,M,本國籍,40-44,2
結核病,2013,6,宜蘭縣,F,本國籍,40-44,1
結核病,2013,6,宜蘭縣,M,本國籍,55-59,1
結核病,2013,6,宜蘭縣,M,本國籍,65-69,1
結核病,2013,6,花蓮縣,F,本國籍,30-34,1
結核病,2013,6,花蓮縣,M,本國籍,35-39,1
結核病,2013,6,花蓮縣,M,本國籍,55-59,1
結核病,2013,6,南投縣,F,本國籍,30-34,1
結核病,2013,6,南投縣,M,本國籍,35-39,1
結核病,2013,6,屏東縣,F,本國籍,60-64,1
結核病,2013,6,屏東縣,F,本國籍,70+,15
結核病,2013,6,屏東縣,F,非本國籍,40-44,1
結核病,2013,6,屏東縣,M,本國籍,40-44,1
結核病,2013,6,苗栗縣,F,本國籍,25-29,1
結核病,2013,6,苗栗縣,F,本國籍,70+,2
結核病,2013,6,苗栗縣,M,本國籍,40-44,2
結核病,2013,6,苗栗縣,M,本國籍,50-54,2
結核病,2013,6,苗栗縣,M,非本國籍,20-24,1
結核病,2013,6,桃園縣,F,本國籍,25-29,1
結核病,2013,6,桃園縣,F,本國籍,35-39,2
結核病,2013,6,桃園縣,F,本國籍,60-64,1
結核病,2013,6,桃園縣,F,本國籍,70+,6
結核病,2013,6,桃園縣,M,本國籍,30-34,1
結核病,2013,6,桃園縣,M,本國籍,40-44,6
結核病,2013,6,桃園縣,M,非本國籍,20-24,1
結核病,2013,6,高雄市,F,本國籍,40-44,2
結核病,2013,6,高雄市,F,本國籍,50-54,1
結核病,2013,6,高雄市,F,非本國籍,30-34,1
結核病,2013,6,高雄市,F,非本國籍,55-59,1
結核病,2013,6,高雄市,M,本國籍,10-14,1
結核病,2013,6,高雄市,M,本國籍,20-24,2
結核病,2013,6,高雄市,M,本國籍,55-59,11
結核病,2013,6,高雄市,M,本國籍,65-69,9
結核病,2013,6,高雄市,M,非本國籍,25-29,2
結核病,2013,6,基隆市,F,本國籍,35-39,1
結核病,2013,6,基隆市,M,本國籍,15-19,2
結核病,2013,6,基隆市,M,本國籍,40-44,1
結核病,2013,6,雲林縣,M,本國籍,35-39,1
結核病,2013,6,雲林縣,M,本國籍,45-49,1
結核病,2013,6,雲林縣,M,本國籍,55-59,3
結核病,2013,6,新北市,F,本國籍,15-19,3
結核病,2013,6,新北市,F,本國籍,40-44,2
結核病,2013,6,新北市,F,本國籍,50-54,6
結核病,2013,6,新北市,F,本國籍,60-64,3
結核病,2013,6,新北市,F,非本國籍,20-24,2
結核病,2013,6,新北市,F,非本國籍,30-34,2
結核病,2013,6,新北市,M,本國籍,20-24,6
結核病,2013,6,新北市,M,本國籍,55-59,11
結核病,2013,6,新北市,M,本國籍,65-69,8
結核病,2013,6,新竹市,F,本國籍,50-54,1
結核病,2013,6,新竹市,F,本國籍,60-64,1
結核病,2013,6,新竹市,M,本國籍,55-59,1
結核病,2013,6,新竹縣,F,本國籍,15-19,1
結核病,2013,6,新竹縣,F,非本國籍,20-24,1
結核病,2013,6,新竹縣,M,本國籍,55-59,1
結核病,2013,6,新竹縣,M,本國籍,65-69,1
結核病,2013,6,嘉義市,M,本國籍,25-29,1
結核病,2013,6,嘉義市,M,本國籍,70+,4
結核病,2013,6,嘉義縣,M,本國籍,50-54,1
結核病,2013,6,嘉義縣,M,本國籍,60-64,1
結核病,2013,6,彰化縣,F,本國籍,35-39,1
結核病,2013,6,彰化縣,F,本國籍,45-49,3
結核病,2013,6,彰化縣,F,本國籍,55-59,3
結核病,2013,6,彰化縣,M,本國籍,50-54,3
結核病,2013,6,彰化縣,M,本國籍,60-64,4
結核病,2013,6,彰化縣,M,非本國籍,20-24,1
結核病,2013,6,台中市,F,本國籍,30-34,1
結核病,2013,6,台中市,F,本國籍,40-44,1
結核病,2013,6,台中市,F,非本國籍,20-24,1
結核病,2013,6,台中市,M,本國籍,45-49,7
結核病,2013,6,台中市,M,本國籍,55-59,3
結核病,2013,6,台中市,M,非本國籍,70+,1
結核病,2013,6,台北市,F,本國籍,25-29,1
結核病,2013,6,台北市,F,本國籍,35-39,2
結核病,2013,6,台北市,F,本國籍,60-64,4
結核病,2013,6,台北市,F,本國籍,70+,13
結核病,2013,6,台北市,M,本國籍,30-34,2
結核病,2013,6,台北市,M,本國籍,40-44,2
結核病,2013,6,台北市,M,本國籍,50-54,2
結核病,2013,6,台東縣,F,本國籍,70+,2
結核病,2013,6,台東縣,M,本國籍,30-34,1
結核病,2013,6,台南市,F,本國籍,45-49,2
結核病,2013,6,台南市,M,本國籍,50-54,7
結核病,2013,6,台南市,M,本國籍,60-64,5
結核病,2013,6,台南市,M,非本國籍,20-24,1
結核病,2013,6,宜蘭縣,F,本國籍,65-69,1
結核病,2013,6,宜蘭縣,M,本國籍,25-29,1
結核病,2013,6,宜蘭縣,M,本國籍,45-49,1
結核病,2013,6,宜蘭縣,M,本國籍,70+,4
結核病,2013,6,花蓮縣,F,本國籍,20-24,1
結核病,2013,6,花蓮縣,F,本國籍,45-49,1
結核病,2013,6,花蓮縣,F,本國籍,55-59,1
結核病,2013,6,花蓮縣,M,本國籍,15-19,1
結核病,2013,6,花蓮縣,M,本國籍,60-64,1
結核病,2013,6,花蓮縣,M,本國籍,70+,2
結核病,2013,6,南投縣,F,本國籍,50-54,1
結核病,2013,6,南投縣,F,本國籍,60-64,1
結核病,2013,6,南投縣,F,非本國籍,30-34,1
結核病,2013,6,南投縣,M,本國籍,20-24,1
結核病,2013,6,南投縣,M,本國籍,55-59,1
結核病,2013,6,南投縣,M,本國籍,65-69,3
結核病,2013,6,屏東縣,M,本國籍,50-54,2
結核病,2013,6,屏東縣,M,本國籍,60-64,4
結核病,2013,6,苗栗縣,F,本國籍,0,1
結核病,2013,6,苗栗縣,F,非本國籍,25-29,1
結核病,2013,6,苗栗縣,M,本國籍,15-19,1
結核病,2013,6,苗栗縣,M,本國籍,25-29,1
結核病,2013,6,苗栗縣,M,本國籍,60-64,2
結核病,2013,6,苗栗縣,M,本國籍,70+,3
結核病,2013,6,桃園縣,F,本國籍,10-14,1
結核病,2013,6,桃園縣,F,本國籍,45-49,2
結核病,2013,6,桃園縣,F,本國籍,55-59,2
結核病,2013,6,桃園縣,F,非本國籍,15-19,1
結核病,2013,6,桃園縣,F,非本國籍,25-29,3
結核病,2013,6,桃園縣,M,本國籍,25-29,1
